Country,Region,Date,Age,Cases,Deaths
Colombia,All,2021.06.07,10,103955,28
Colombia,All,2021.06.07,15,177847,98
Colombia,All,2021.06.07,20,373734,336
Colombia,All,2021.06.07,25,491804,700
Colombia,All,2021.06.07,30,478266,1078
Colombia,All,2021.06.07,35,439351,1807
Colombia,All,2021.06.07,40,372687,2750
Colombia,All,2021.06.07,45,305626,3640
Colombia,All,2021.06.07,50,303989,5767
Colombia,All,2021.06.07,55,279775,8532
Colombia,All,2021.06.07,60,212282,11647
Colombia,All,2021.06.07,65,148251,13429
Colombia,All,2021.06.07,70,105593,14348
Colombia,All,2021.06.07,75,72467,13364
Colombia,All,2021.06.07,80,51771,12089
Colombia,All,2021.06.07,85,30675,8923
Colombia,All,2021.06.07,90,13907,4576
Colombia,All,2021.06.07,95,3556,1231
Colombia,All,2021.06.07,100,675,202
Costa Rica,All,2020.11.10,0,1122,0
Costa Rica,All,2020.11.10,5,2033,0
Costa Rica,All,2020.11.10,10,3539,0
Costa Rica,All,2020.11.10,15,6167,0
Costa Rica,All,2020.11.10,20,10764,18
Costa Rica,All,2020.11.10,25,16038,34
Costa Rica,All,2020.11.10,30,19621,15
Costa Rica,All,2020.11.10,35,18326,24
Costa Rica,All,2020.11.10,40,13972,103
Costa Rica,All,2020.11.10,45,9147,124
Costa Rica,All,2020.11.10,50,6369,77
Costa Rica,All,2020.11.10,55,4206,70
Costa Rica,All,2020.11.10,60,2444,91
Costa Rica,All,2020.11.10,65,1405,123
Costa Rica,All,2020.11.10,70,997,192
Costa Rica,All,2020.11.10,75,717,210
Costa Rica,All,2020.11.10,80,595,178
Costa Rica,All,2020.11.10,85,491,126
Costa Rica,All,2020.11.10,90,362,73
Costa Rica,All,2020.11.10,95,187,29
Costa Rica,All,2020.11.10,100,53,6
Cuba,All,2020.05.24,0,0,0
Cuba,All,2020.05.24,5,0,0
Cuba,All,2020.05.24,10,0,0
Cuba,All,2020.05.24,15,0,0
Cuba,All,2020.05.24,20,0,0
Cuba,All,2020.05.24,25,0,0
Cuba,All,2020.05.24,30,0,0
Cuba,All,2020.05.24,35,0,2
Cuba,All,2020.05.24,40,0,0
Cuba,All,2020.05.24,45,0,2
Cuba,All,2020.05.24,50,0,4
Cuba,All,2020.05.24,55,0,6
Cuba,All,2020.05.24,60,0,6
Cuba,All,2020.05.24,65,0,8
Cuba,All,2020.05.24,70,0,9
Cuba,All,2020.05.24,75,0,11
Cuba,All,2020.05.24,80,0,14
Cuba,All,2020.05.24,85,0,10
Cuba,All,2020.05.24,90,0,3
Cuba,All,2020.05.24,95,0,1
Cuba,All,2020.05.24,100,0,1
Czechia,All,2021.06.14,0,40076,2
Czechia,All,2021.06.14,5,65427,1
Czechia,All,2021.06.14,10,72050,1
Czechia,All,2021.06.14,15,72227,2
Czechia,All,2021.06.14,20,85433,3
Czechia,All,2021.06.14,25,108825,19
Czechia,All,2021.06.14,30,120345,39
Czechia,All,2021.06.14,35,127434,67
Czechia,All,2021.06.14,40,160277,131
Czechia,All,2021.06.14,45,174823,247
Czechia,All,2021.06.14,50,135756,393
Czechia,All,2021.06.14,55,126517,766
Czechia,All,2021.06.14,60,94735,1469
Czechia,All,2021.06.14,65,77615,2925
Czechia,All,2021.06.14,70,67525,4932
Czechia,All,2021.06.14,75,49482,5952
Czechia,All,2021.06.14,80,31217,5348
Czechia,All,2021.06.14,85,21417,4694
Czechia,All,2021.06.14,90,10738,2562
Czechia,All,2021.06.14,95,2552,598
Czechia,All,2021.06.14,100,234,46
Denmark,All,2021.06.15,0,8307,0
Denmark,All,2021.06.15,5,13222,0
Denmark,All,2021.06.15,10,21290,0
Denmark,All,2021.06.15,15,26472,0
Denmark,All,2021.06.15,20,29570,0
Denmark,All,2021.06.15,25,27711,0
Denmark,All,2021.06.15,30,21733,2
Denmark,All,2021.06.15,35,18489,4
Denmark,All,2021.06.15,40,20356,3
Denmark,All,2021.06.15,45,22039,6
Denmark,All,2021.06.15,50,22075,22
Denmark,All,2021.06.15,55,18020,43
Denmark,All,2021.06.15,60,12411,75
Denmark,All,2021.06.15,65,8594,136
Denmark,All,2021.06.15,70,7033,275
Denmark,All,2021.06.15,75,5079,399
Denmark,All,2021.06.15,80,3637,499
Denmark,All,2021.06.15,85,2409,492
